"id","judul","penulis","gambar","isi","link","created_at","updated_at"
"11","My Father Never Escaped His Rage and Anxiety. Can I?","Alexander Nazaryan",NULL,"A son feels trapped by the legacy of his father’s battles with mental health.","https://www.nytimes.com/2025/06/13/well/my-father-never-escaped-his-rage-and-anxiety-can-i.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"12","Elektrokrampftherapie senkt Suizidrisiko bei schwerer Depression - it boltwise","Admin",NULL,"Elektrokrampftherapie senkt Suizidrisiko bei schwerer Depression&nbsp;&nbsp;it boltwiseElektrokonvulsionstherapie EKT: Elektroschocks gegen Depressionen&nbsp;&nbsp;DeutschlandfunkIhre Depression schien unheilbar – dann half ihr ein Hirnschrittmacher&nbsp;&nbsp;STERN.de","https://news.google.com/rss/articles/CBMinAFBVV95cUxPTTFYUUFudmFGeW8zVFpST2x2SHF2LU1heXhJMDNwaFJqUlJoV1dlWVJjbmtwTjcxbzhnSWpYTFMzS25nekZFUHZpOUdpOXNJM2g5Tnl6N3FUUjdxZHdCSVlha1dpekJaLXh6dkdLU0ZsNko0dHRRVXQ0Rkp4ZTF4MDdpWHIzblZZVDg3bTR6TXUtQ3JZYjluQV9sUDU?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"13","Protocole d’évaluation de l'acte de radiothérapie peropératoire (RTPO) adjuvante à la tumorectomie dans le traitement du cancer du sein précoce à faible risque de récidive - Haute Autorité de Santé - HAS","Admin",NULL,"Protocole d’évaluation de l'acte de radiothérapie peropératoire (RTPO) adjuvante à la tumorectomie dans le traitement du cancer du sein précoce à faible risque de récidive&nbsp;&nbsp;Haute Autorité de Santé - HAS","https://news.google.com/rss/articles/CBMitwJBVV95cUxNb3d5S1dUM0pRZjBlb0daNEo3cWpBQnBPNmFxME93czBFY1RweVdGTndrUDlZVkhfNzQzMk5zOGZ5aDlEUERsSF9fYzBZbFlGYWdEbmdmeUVqSGRpZ1dZYndTVlkxTExaS0U2MGdfX0wyd1ozMkZwUGZuZmQ2TTFlRVN1a2t4bEVacjBqWl9Fd1YzR1F3Q18xd0x0N1hLWFpQT0hlbkZjUzFpMHBlQjZBTlZmNk9kTFJoRFNFZ185anh4MXBGVUxWVzdJbGQxUTg2cVlTeHdvVXFITzBpQ0NOb2tqX0JhWDNNNFRMb01DRlNtQUs2cWpqS2FCTE55ZzVfWXd0bDA0Y3lEcml4eHAzblNUZUgwSzJGVVVZeUlEbVdRbzJWVjhlZnM3MlZnTnFqS0lrcnF6OA?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"14","HCTCO instaura sindicância para apurar supostos ‘atos libidinosos’ durante plantões - O Diário de Teresópolis","Admin",NULL,"HCTCO instaura sindicância para apurar supostos ‘atos libidinosos’ durante plantões&nbsp;&nbsp;O Diário de Teresópolis","https://news.google.com/rss/articles/CBMitwFBVV95cUxNWWxIMzN3Z0lzLTlxQ0FYdXd5VW9IUVZrMXp6RXlUUkFoOXdrU1RwVFhQNHBldTRfZFl5R01GNW54c1BiLVFKd3NSUmFqekd5LVhPNjlWbmFEbjMzNEtSRW5idmsxZXFPNFZnWlNlTmdEOXRxMlQtZEpoVWdhdmkyNFd3d1ZfOE9XZTVEaU13Qnh3Wm1wQmV5UW9saUg4S0Jqb21GQjVveGdfMlowSGlkb29xcTdnMjg?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"15","Nexplanon : baisse des cas de migration pulmonaire, mais la vigilance reste de mise - Le Quotidien du Pharmacien","Admin",NULL,"Nexplanon : baisse des cas de migration pulmonaire, mais la vigilance reste de mise&nbsp;&nbsp;Le Quotidien du Pharmacien","https://news.google.com/rss/articles/CBMi6wFBVV95cUxPTHNsT0pTdkZ6RGpTT1dKLXRzVGFWb3d0VmdhRUlxOFF0N0p6Ung1bHlSc3ZEOWQ3R1lXSkQ5cUlsLUNzNzRqVnFfV2NaOUJjTUdiWFNpajc3U05GODRiUHZCNUVCSzdSSXJLR0MxODRzSnkwNUtZUUtFaVlBZElqd2k5NUNaQ0l6dlA0V2RwMDZlNW82bTNYeXBJQmtGbmc0YWhUdDEyVDFCNTVWTDNVa3JXUWZFR3ViaExabUZFV2l1QVVBVTBWM2l0YUNiSjA3dHJDYXA0VjhwZWVoM3R5Q01rRENfU1pUb0U0?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"16","Primär sklerosierende Cholangitis mit Epstein-Barr-Virus assoziiert - Ärzte Zeitung","Admin",NULL,"Primär sklerosierende Cholangitis mit Epstein-Barr-Virus assoziiert&nbsp;&nbsp;Ärzte Zeitung","https://news.google.com/rss/articles/CBMiuAFBVV95cUxQSXI0Rk1fTVFhcmRoOXhWU1JxRm02cU5PTmczYko5eV9uX0dfZVZLMGQ4cXNjeWNrUmdHQjQtNE5vQnRtVF90SW1ESGZPMTluMTFWSnEwZjliQ0g1Y1h2QXBkdHM4M2ROUjZxdm85S0EzU0FqNVBPcnZxdVRsdHJRc01Xa2h2bmRvd1p6OEJqV1haNVpISVdkbnNZbkdxeVZVZVRFaFA4RTZWbzZGckh4Sm5HLW5sWFI3?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"17","Não é gripe: tosse seca e sem catarro pode ser alergia respiratória - UOL","Admin",NULL,"Não é gripe: tosse seca e sem catarro pode ser alergia respiratória&nbsp;&nbsp;UOL","https://news.google.com/rss/articles/CBMiwwFBVV95cUxPaWtfTHgtd0xwX0hGdTJZaW9Pbk5qR1B5WTBMcHdEVVpZVkdPYk9WNjB6SUhtNWNHMTgtVWJSYTN5SHpvR3Jtc1gtTExmZHREWFlXMThpcV9qSGlZczJGWDdkZ01JRkNJSGZZSFpGWXhBQXZYMlcyUzRROUVWR0k0cFRtdEE3RTFwU1FGbGt4YktrOUVham1lQ2hIajg3VmNtR01rTzN1VHlZUzBNWFlycS1wLWlFWWh3ZmRPVU05dFFqc2c?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"18","New prostate cancer therapy to significantly shorten treatment time for Tasmanians - Tasmanian Department of Health","Admin",NULL,"New prostate cancer therapy to significantly shorten treatment time for Tasmanians&nbsp;&nbsp;Tasmanian Department of Health","https://news.google.com/rss/articles/CBMitgFBVV95cUxOZnlrcUExcmctbEVqYzMwMVhxUEZMUUJXYlNnLUlFTjFvNk9YZWpFU3prOV9uOTB4eVV1WV9jUVVkdVJDTnpKVTF3ZFpfaThOeTRjYTVjd2t5b01ZdzNvTGNtWXVGZU5WeEZBZmRnOVNfYmpTYzdheTNJRzV0T0JVc0x5RWhQYUZsWDI4bTJKYUUxQmxHbk9idmRIUkJJV2lETTlRaFpmcXJ5Z3hlaThieDFjdjAxUQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"19","Ernährungsexperten rechnen vor: Skyr gilt als Eiweißbombe - doch Magerquark hat mehr davon","Admin","https://rp-online.de/imgs/32/2/3/4/3/6/0/9/8/3/tok_ac60fe3ca511885f1aec0a93a15a0a48/w950_h950_x836_y706_og57ap3igk-v14-ax-s2048-477a41d2ce685227.jpeg","Der gute alte Magerquark schlägt laut Berechnungen von Verbraucherschützern den trendigen Skyr aus dem Norden - beim Eiweiß und beim Preis. Mit einem Trick wird der Quark sogar noch cremiger.","https://rp-online.de/leben/gesundheit/ernaehrung/skyr-gilt-als-eiweissbombe-doch-magerquark-hat-mehr-davon_aid-129244259","2025-06-14 09:55:57","2025-06-14 09:55:57"
"20","Chikungunya : un premier cas autochtone détecté dans le Var, une ""démoustication"" réalisée dans la commune concernée - ladepeche.fr","Admin",NULL,"Chikungunya : un premier cas autochtone détecté dans le Var, une ""démoustication"" réalisée dans la commune concernée&nbsp;&nbsp;ladepeche.frUn cas de chikungunya détecté à La Crau&nbsp;&nbsp;francebleu.frChikungunya : un premier cas du virus détecté en France métropolitaine cette année&nbsp;&nbsp;RTL.frUn premier cas de chikungunya détecté à La Crau (Var)&nbsp;&nbsp;vaucluse.gouv.frChikungunya : le premier cas autochtone de l’année en France métropolitaine détecté dans le Var&nbsp;&nbsp;Ouest-France","https://news.google.com/rss/articles/CBMi8gFBVV95cUxQUkVEN0hxd1lKLWVSTFlDR1l4Vk95ZnNNNmFsRkM0UldjeXBrelpyX0F4MkUzSE5yZVJFR0gxNlpVeDBlb1cxXzNVWjh6ZUNBSXUyajV4ODhKRDhIMXZ6Tzh2NkNJMlBuTjBiYWYwdm13QlY2SHQ4aklScjdhZGszWllKdk9TcnRQbkQ5T3MxSUlmVFRsMnBWN0pzNVVmYURneEgyUGVvRUVncDBCbFdhOTZEYXVXV0hpWWpoelByekFDZl9xMV9iTjlOVl90Z3JSUDRUaWZHMGFqZW91VDU0MXRINUNtQkpQd3FuaGg2dVZaQQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"21","Online Learning Boosts Guideline Use Over 50% - Mirage News","Admin",NULL,"Online Learning Boosts Guideline Use Over 50%&nbsp;&nbsp;Mirage News","https://news.google.com/rss/articles/CBMihwFBVV95cUxQV0IzaVpGVjRaLV9NdXY1Qmkwel84eEVuREctelZFakE1R3VXVnc1anZJOTRnSkVFWFhoZ2tjRkItQ2pVNE9LeGc1bDE5QUl1ZkxMN2M1YzZqQzVtTHE5ejRiVE9OX09qRDVTS1pRMW5DZ3pFSDdGTm9TUkpReGhyOWVpTlhGX0U?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"22","How to Survive a Crisis","Jancee Dunn","https://static01.nyt.com/images/2025/06/13/well/13WELL-NL-DISASTER/13WELL-NL-DISASTER-mediumSquareAt3X.jpg","An international disaster adviser shares advice for going through a difficult time.","https://www.nytimes.com/2025/06/13/well/how-to-survive-a-crisis.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"23","How a Purge at One Obscure Panel Could Disrupt Vaccinations","Apoorva Mandavilli","https://static01.nyt.com/images/2025/06/13/multimedia/13hs-vaccines-05-lfmw/13hs-vaccines-05-lfmw-mediumSquareAt3X.jpg","Robert F. Kennedy Jr., the health secretary, dismissed 17 scientific advisers to the C.D.C. Critics fear newly appointed members will roll back vaccine recommendations.","https://www.nytimes.com/2025/06/13/health/vaccines-kennedy-cdc.html","2025-06-14 09:55:57","2025-06-14 09:55:57"
"24","Prior Covid vaccination proved beneficial for acute kidney injury patients: Study - MorungExpress","Admin",NULL,"Prior Covid vaccination proved beneficial for acute kidney injury patients: Study&nbsp;&nbsp;MorungExpressCOVID-19 vaccination lowers dialysis and mortality risk in patients with COVID-related acute kidney injury&nbsp;&nbsp;healthcare-in-europe.comDoes Covid vaccine lower Kidney risk? | Tap to know more | Inshorts&nbsp;&nbsp;Inshorts","https://news.google.com/rss/articles/CBMiqgFBVV95cUxNVnpiTDF0SWt4SGJlVGJGMV9GTkhiVkxFTC1lRVJsLXFSdjNSaFItTHVJMHEwT3hIQzFTdEh6amE5Y25xSnlTTTcyN3JZTHJHaUFvN2xXY1NqY1FvOHJ1dFhGLVc4cXBpQ25kcXgzMmhoOTVNck5oUnl3OERial90SWdqNGVncXlRWjJDam5XNWF5cWJlcmZsYzd3eFowX2phMWdMcDYyZTJ5UQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"25","Social media eating ills - Star Weekly","Admin",NULL,"Social media eating ills&nbsp;&nbsp;Star WeeklyThose ‘what I eat in a day’ TikTok videos aren’t helpful. They might even be harmful&nbsp;&nbsp;The Conversation","https://news.google.com/rss/articles/CBMiiwFBVV95cUxOaXNxb05HT1dyclVZS0NzTlJHSjRDRmNCTWlIakpWOS1lOUNlM21YWmg3MkhwWjltLUlUUHVOZl9JLXlNNnBiUXRsTUN4M3Z3OTI5VndMWUlYbUkwOHZkeXAyZ1J0VFd4TVdqcVp5MzdHVDlteWlhN0pjMDRjbzJjUnhRU0JBU1B1TGQ0?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"26","Actualité - Retour d'information sur le PRAC - ANSM","Admin",NULL,"Actualité - Retour d'information sur le PRAC&nbsp;&nbsp;ANSM","https://news.google.com/rss/articles/CBMickFVX3lxTE5ZTTRXYVBJQ0pWQkRCa0tiRV91UVZhUDAxbzRUWlllYlJVdUFyQjJCckJXMEFhX0RTQ2hXRXJQVFR6bGFCRWxscVB6TkxBRGNySEhsREREcW5ZQWk2LXJGRGw5NnU0NUFpN2pRZnNSZVRBdw?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"27","À la maison de santé de Belfort, on regarde ses grains de beauté pour prévenir les cancers - Radio France","Admin",NULL,"À la maison de santé de Belfort, on regarde ses grains de beauté pour prévenir les cancers&nbsp;&nbsp;Radio FranceCancer de la peau : les premiers signes à observer&nbsp;&nbsp;Radio-CanadaRayons UV : principaux responsables de plus de 80 % des cancers cutanés mondiaux, protégez-vous&nbsp;&nbsp;MSN10 (bonnes) raisons de ne pas vouloir bronzer cet été&nbsp;&nbsp;Portail FreeCancer de la peau : dans quelle région de France le soleil est-il le plus dangereux ?&nbsp;&nbsp;Ouest-France","https://news.google.com/rss/articles/CBMijgJBVV95cUxPelVxUC00dUJHRmlJYTRsdXE5ZTNOeVUzLWxldlotamVnMHBTdkZXaW5YMXB5el9RT2lET0NUcDhfYl9BY3pDTGx1RW1iZ2lNVnQyNmhIXzk5UXNXY2hqb0hFWEpud05OeDhXejdSMkhSNXJ1Vl9hUFBaYnpxZHBCNkhaNVZxaFpOUXp0SHhta0kxQzk5NVJvWVhLMm94YXpndW5LU25xdExUTVNQYmp1Z2hxQ0xWM3V3c1dDMjN6RjB6bXdBLXA4T0JQZlRITmxzSU9qZVg2b2FBeWZZQ25PSEdZTXl6Nk91X3pYa0p4SGVUeF9MWGVJTkF6YlVVS3NCV1p3dnZwaC1qMXBMRmc?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"28","Cancer de la peau : dans quelle région de France le soleil est-il le plus dangereux ? - Ouest-France","Admin",NULL,"Cancer de la peau : dans quelle région de France le soleil est-il le plus dangereux ?&nbsp;&nbsp;Ouest-FranceCancer de la peau : les premiers signes à observer&nbsp;&nbsp;Radio-CanadaRayons UV : principaux responsables de plus de 80 % des cancers cutanés mondiaux, protégez-vous&nbsp;&nbsp;MSN10 (bonnes) raisons de ne pas vouloir bronzer cet été&nbsp;&nbsp;Portail FreeToute l'actualité ""ultraviolets""&nbsp;&nbsp;Jean-Marc Morandini","https://news.google.com/rss/articles/CBMi8AFBVV95cUxOR1lGSTFOM0FkODBLdUtXcHh0Z2dpenBVQUVCS0M5SVFhODUwNEIyaWZJbkQxTlc0dG9JYUxkMk5kRlVKcHJ2ak5DS0FDZTZsa2x0R0dDc081NlQtTlowRy04WmZiZ0FhVFBRY2NFMW1jVmlMc3M1b2lxbFRLX3NDdGc5WlFLODNCQ2NMRzFDdVZqeUlVbXZOc2NNUzhSUXNaRHo1eHIxYUwtQm84MC02dzZidWdBWmZkQXkyU0hxN2ZJS05EVGE2TkpRYU4xZkVDVXloNWV2cUdfd0Fnazgwc1F0R0puUWllckN3eGlvLTc?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"29","L’ARN, une arme pour débusquer le virus du sida? - pieuvre.ca","Admin",NULL,"L’ARN, une arme pour débusquer le virus du sida?&nbsp;&nbsp;pieuvre.caLe VIH enfin débusqué?&nbsp;&nbsp;Radio-CanadaSanté : Comment les vaccins contre le Covid-19 ont sans doute permis de trouver un remède contre le Sida&nbsp;&nbsp;L'IndépendantL’ARN, arme pour débusquer le virus du sida?&nbsp;&nbsp;sciencepresse.qc.caDes chercheurs belges ont franchi un cap contre le VIH&nbsp;&nbsp;Radio France","https://news.google.com/rss/articles/CBMiaEFVX3lxTE9zMG9vMWVvV0FjLWFKb0JJM3ozY3VnQlctUVU5MDAzRHozdW04d242NnFLSHlwSm5QekF6SXdtSG5TYkFTQlBSZ2JrWUt1azRJZjNOSHNuMklXSHNVT1l2UGFMUkhoMjMy?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"30","Santé. Épinards, amande, chocolat noir : les aliments ""anti-fatigue"" sont-ils vraiment efficaces ? - Vosges Matin","Admin",NULL,"Santé. Épinards, amande, chocolat noir : les aliments ""anti-fatigue"" sont-ils vraiment efficaces ?&nbsp;&nbsp;Vosges Matin","https://news.google.com/rss/articles/CBMi0gFBVV95cUxPVEVYTExEWThzRkUzUzBwdDN1OGQtTDMyS3V1bUhfdnd3SHhpVDJob0R3anQxNy0zWjhYdnQxSUpaejY0SXNNUTNBNXFHaENrZUNwWU8tcmpPRWM2TDY3NWdTZ0ZNM3l5REw5REJNcVBJUTJnWHg0QThSNnRWQXBNRnc2c2Y4eG80SmxQckM1SXFEYnZQWXpoQTVBb3N2elR5eUNzeHFtZGlOaXRnQlpTTWJVcWRETjBFY3kzSmFzZVM4V3NZaHFXd1JQQmVIcjE2MXc?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"31","Santé. Pourquoi les vaccins contre la variole et le BCG laissent-ils des cicatrices ? - Le Progrès","Admin",NULL,"Santé. Pourquoi les vaccins contre la variole et le BCG laissent-ils des cicatrices ?&nbsp;&nbsp;Le Progrès","https://news.google.com/rss/articles/CBMivwFBVV95cUxQcHpOMHhlVWdNWTk2RlM2UDB4eU1BY25OblR6T0k5RnM2NnhNNW4tVk1YeHNaVXdCQVg0ZWNTZlRQWWZFLXBkaEdMcUpKb0dmcll6ZHQtN0xBYjI2TjhKS3JKLWVrRkQ3NmlHWG5id0hqQmJ1emVEUzJNcjdwbXlaM25fQ21mYmRBQ0UtVFVCMkV1ZzRXem5hVEFMQUVaTldjWmQzU25Dd1M0M3RYdlREN3NycWRDSVYxWGltaTZfZw?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"32","Santé. Cancer de la peau : la localisation des mélanomes diffère selon le sexe - Le Dauphiné Libéré","Admin",NULL,"Santé. Cancer de la peau : la localisation des mélanomes diffère selon le sexe&nbsp;&nbsp;Le Dauphiné Libéré","https://news.google.com/rss/articles/CBMivwFBVV95cUxQc00wSkZNSTl3RE9pQ1Y0em5zdVBWd1FiMWVPTjktTEl5N3p1bmZuc1BMSzJxZnM5LUJmTmlLYklCaERZVEpCM2lldzNTV2l2cVB1cGZ5aXZzSDhSZEVRcTJWSzdiQVZaQlZ1ZXloUTlPeEgtY1RxNWlObjFhdEVMYjY2dkcyTHI2d3BTWWhHMzlqVy1vZExwb2l4MlU4VENoQVR5Q3hJVWllSnFad3hKb3RDRGJRT3BsYUlRRi01UQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"33","Région d’Obernai et de Molsheim. Moustique tigre : l’action encore timide des communes - DNA","Admin",NULL,"Région d’Obernai et de Molsheim. Moustique tigre : l’action encore timide des communes&nbsp;&nbsp;DNAAstuce : voici ce qu’il faut faire pour éviter les piqures de moustique&nbsp;&nbsp;RSE MagazineBracelets aux huiles essentielles, répulsif... quel est l'anti-moustique le plus efficace ? Envoyé spécial répond&nbsp;&nbsp;Santé MagazineMoustiques : la France en surveillance renforcée !&nbsp;&nbsp;MedisiteSaison 2025 du moustique tigre&nbsp;&nbsp;health.belgium.be","https://news.google.com/rss/articles/CBMimwFBVV95cUxOMnJzZGM2WE5RQm1TYU0yd1RhWjM0MVdxTzJPZGtwbS1wZGYzUDNyN3paUlZqdTItMGo2dlB6NWJSalVhTmg3d1JCM2daQUR2NFhfSkhYX3V4R2R3U0ViT05sWlhMekVvQTNPamdUbEluYjlkaHBtZERHVWp3MnZ4MzRvZHZleG41aEVXNGdwcFhLSllOS2VVYXlTVQ?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
"34","Common blood pressure drug slows aging and boosts lifespan, even in older animals - Earth.com","Admin",NULL,"Common blood pressure drug slows aging and boosts lifespan, even in older animals&nbsp;&nbsp;Earth.com","https://news.google.com/rss/articles/CBMisgFBVV95cUxQR1FveUFHRGozV2FrcTBKNURmRDRwdmlMMWpBaU1Ockw3VnNRWlBTS28xSnhlRkZVQTN3ZFUzZWNVOXFYT2QwTm1zOElqWndNNHN2RDI1NGlhYTZEVEowRXRuT3BkSkZkRXhJeFNsZi1FWFgxcjBIMVFrLU9jMFE0UkJDRk44WnBZQ0FhdG9UUEQ3R05IMHVNd1hkNTZiUXE1VnVURGpRNUt4Tm9PX3RoVUV3?oc=5","2025-06-14 09:55:57","2025-06-14 09:55:57"
